u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,junction,width,access,tunnel
12092007143,364848578,0,"[68688525, 172894150, 1140848591]",residential,1,30,"['Eivenių g.', 'A. Jasaičio g.']",True,,False,312.1586941109787,"LINESTRING (23.9204851 54.9170894, 23.920342 54.9171211, 23.919972 54.9172311, 23.9189547 54.9175382, 23.9188795 54.9175602, 23.9188271 54.9175755, 23.9185726 54.9176501, 23.9184979 54.9176719, 23.9182157 54.9177546, 23.9181119 54.9177849, 23.9180535 54.9177665, 23.9179483 54.9175688, 23.9178824 54.9174406, 23.9178061 54.917299, 23.9177579 54.9172142, 23.9176586 54.9170354, 23.9175113 54.9168384, 23.9173316 54.9166464, 23.9172972 54.9166123)",,,,,
12095660578,82662839,0,1305998092,residential,,,Karaliaučiaus g.,False,,False,128.9148366364218,"LINESTRING (23.9717855 54.8604282, 23.9719252 54.8604535, 23.9737069 54.8607762)",,,,,
12095672619,3293401260,0,992706149,residential,,,Gumbinės g.,False,,True,219.9095726675469,"LINESTRING (23.9731727 54.8568591, 23.9736444 54.8572935, 23.9739949 54.858598, 23.9740335 54.8587417)",,,,,
12096156678,11280331858,0,1306326956,secondary,1,,,True,,False,5.908121380437835,"LINESTRING (23.9020137 54.9420322, 23.90201 54.9420587, 23.9019922 54.9420832)",,roundabout,,,
12096156680,10742416252,0,1306049277,residential,,,Vytėnų g.,True,,False,6.835281284037223,"LINESTRING (23.9022867 54.9418838, 23.9023887 54.9418652)",,,,,
12096156682,10742416249,0,1155119228,secondary,1,,,True,,False,12.14990354243856,"LINESTRING (23.9017199 54.9420436, 23.9017249 54.9420164, 23.9017447 54.9419916, 23.9017773 54.9419717, 23.9018192 54.9419588)",,roundabout,,,
12096156684,10742416265,0,1306049279,secondary,2,50,Vytėnų g.,True,,False,6.535918064258812,"LINESTRING (23.9012839 54.9421618, 23.9013733 54.9421332)",,,,,
12096156684,1025244730,0,32495196,secondary,2,50,Vytėnų g.,False,,True,89.42797083318614,"LINESTRING (23.9012839 54.9421618, 23.9010891 54.9422152, 23.9000233 54.9425118)",,,,,
12098483684,8062017386,0,992911480,residential,,,Minijos g.,False,,False,12.701204938739222,"LINESTRING (23.9047772 54.9507248, 23.9049667 54.9506901)",,,,,
12102618387,2685023670,0,73204510,residential,,,Energetikų g.,False,,False,75.57711276240101,"LINESTRING (24.0029204 54.8871679, 24.002827 54.8871066, 24.0026392 54.8870449, 24.0024219 54.8870117, 24.0021864 54.8869801, 24.0020411 54.8869662, 24.0018319 54.8869577)",,,,,
